name,tags,categories
ampersand-square,and|typography|operator|join|concatenate|code|coding,text|design|development
apple-core,fruit|juice|smoothie|sweet|snack|meal|lunch|ingredient|cooking|cookery|kitchen|cuisine|eating|healthy|nutrition|diet|bite|bitten|consumed|litter|trash|rubbish,food-beverage
arrows-up-down-square,elevator|lift|floors|levels|hotel|accommodation|expand|unfold|vertical|toolbar|button,buildings|travel|arrows|shapes
astronaut-helmet,spacesuit|spaceman|explore|interplanetary|stars|safety|protection|headgear,science|gaming
at-sign-circle,mention|at|email_address|message|contact|networking|ping,text|account|communication|social|notifications|shapes
at-sign-square,mention|at|email_address|message|contacts|details|address_book|directory|listing|networking|business_card|ping|toolbar|keyboard|button,text|account|connectivity|communication|social|shapes
avocado,fruit|snack|meal|lunch|ingredient|cooking|cookery|kitchen|cuisine|eating|healthy|nutrition|diet|guacamole|mexican,food-beverage
baby-pacifier,dummy|teething|suck|silence|quiet|newborn|childproof|children|infant|kids|toddler|mother|mum|family,people|home|shopping
bacon,rashers|smoked|streaky|crispy|meat|fast_food|junk_food|snack|dish|restaurant|brunch|lunch|meal|savory|savoury|cookery|cooking|grilled|barbecue|barbeque|bbq|pig,food-beverage
bag-hand,purse|finance|storage|store|ecommerce|cart|purchase|womens|girls|female|ladies|accessories|fashion|leather,shopping|money
barbecue,barbeque|bbq|grilled|smoke|dinner|meal|meat|cookery|cooking|charcoal|heat|hot|fire,food-beverage
barber-pole,hairdresser|grooming|cut|shave|shop|salon|service|signage|stripes|spin|spiral|helix|twist|twirl|rotate,maps|medical|people|social
barn,stable|cattle|horses|farm|ranch|hay|alfalfa|door,buildings|animals|maps
baseball,home_run|pitcher|bat|innings|rounders|bounce,sports|gaming
baseline-square,color|colour|toolbar|formatting|plain_text|rich_text|rtf|typography|fonts|font_book|collection|slab_serif|writing|writer|prose|content|markdown|markup,text|tools|design|development
basketball,bounce|hoop|netball|court|dribble|slam_dunk|alley-oop|team|score|nba,sports|gaming
bat-ball,table_tennis|ping-pong|whiff-whaff|paddle|racquet|racket|net|bounce|score,sports|gaming
bath-bubble,amenities|services|bathroom|towel|relax|luxury,home|travel
beach-ball,inflatable|summer_holiday|seaside|toys|kids|children|play|football|soccer,travel|sports|gaming
bear-face,cub|cuddle|children|kids|toys|teddy|nursery|picnic|outdoors|wilderness|forest|national_park|open_season|hunting|grizzly|warning|danger|strength|mammal,animals
bed-bunk,sleep|hostel|accommodation|sheets,furniture|home|travel
bee-hive,nest|beehive|beeswax|bumble|buzz|busy|productivity|honeycomb|keeper|garden|insect|sting|swarm|wasps,nature|food-beverage
bee,bumble|buzz|busy|productivity|pollen|pollinate|honey|hive|keeper|garden|insect|antennae|flying|wings|sting|swarm|wasp,animals
beetle-scarab,bug|wildlife|wings|flying|insect|antennae|ancient|egyptian|heiroglyphic,animals
bell-concierge-dot,reception|bellboy|bellhop|porter|service|summon|hospitality|hotel|accommodation|attention|alert|ring|ding|sound|reminder|unread|pending|updates,travel|notifications
bell-concierge-off,unstaffed|self-service|self-catering|hospitality|hotel|accommodation|silent|silence|quiet|ignore|forget,travel|notifications
bell-concierge,reception|bellboy|bellhop|porter|service|summon|hospitality|hotel|accommodation|attention|alert|sound|ding|ring,travel|notifications
belt,buckle|strap|fasten|fasting|waistline|weight_loss|diet|calories|store|clothing|clothes|accessories|apparel|attire|outfit|fashion|leather,shopping|social|food-beverage
bold-square,emphasis|emphasize|strong|toolbar|formatting|styling|plain_text|rich_text|rtf|typography|font|sans_serif|writing|writer|prose|content|markdown|markup,text|tools|design|development
bottle-baby,newborn|children|infant|kids|toddler|mother|mum|family|milk,people|home|shopping
bottle-champagne,alcohol|drink|glass|bubbly|sparkling|fizzy|bar|party|special_occasion|celebration|victory|champion|luxury|nightclub|nightlife|sommelier|restaurant,food-beverage|social
bottle-dispenser,toiletries|bathroom|amenities|shower_gel|bubble_bath|shampoo|conditioner|hand_soap|sanitizer|sanitiser|clean|wash,home|travel
bottle-perfume,parfum|aftershave|aroma|fragrance|smell|scent|special|present|gift|accessories|container|duty_free,social|travel
bottle-plastic,drink|water|liquid|litres|pints|container|shampoo,food-beverage
bottle-spray,cleaning_products|toiletries|bathroom|amenities|service|sanitizer|sanitiser,home|travel
bottle-toothbrush-comb,toiletries|bathroom|amenities|shower_gel|bubble_bath|shampoo|conditioner|toothpaste|tube|clean|wash|brush,home|travel
bowl-chopsticks,noodles|poke|soup|culinary|cuisine|asian|japanese|chinese|oriental|eastern|brunch|lunch|dinner,food-beverage|tools
bowl-overflow,spillage|drip|liquid|soup|porridge|gruel|cereal|breakfast|morning|brunch|lunch|dinner|meal|starter|appetizer|appetiser|culinary|cuisine,food-beverage
bowling,ten-pin|10_pin|pins|ball|lane|alley|strike|spare|score|indoor_sports|heavy,sports|gaming
bra-sports,brassiere|breasts|boobs|tops|womens|girls|female|ladies|lingerie|underwear|undergarment|sportswear|exercise|fitness|swimwear|beachwear|bathing_constume|summer_holiday|store|clothing|clothes|apparel|attire|fashion|thread|cotton|casual,shopping|sports|travel
briefcase-plus,healthcare|first_aid_kit|paramedic|medkit|medikit|medpack|medicine|pharmacy|pharmaceutical|add|cross|box,medical|gaming
broom,broomstick|brush|sweep|floor|cleaning|witch|halloween,tools|home
bucket,handle|container|fill|liquid|water|seaside|summer_holiday|beach|sandcastle|sandbox|toys|kids|children|play|gardening|equipment|spade|shovel|catch|fishing|crabs,nature|home|tools|travel
bull-head,cow|horns|meat|steak|barbecue|bbq|beef|bovine|rodeo|ranch|farmyard|livestock|cattle|taurus|toro|hoofs|hooved|mammal,animals|food-beverage
burger,hamburger|cheeseburger|meat|patty|bun|fast_food|junk_food|takeaway|takeout|snack|dish|restaurant|lunch|meal|savory|savoury|cookery|cooking|grilled|barbecue|barbeque|bbq,food-beverage
butterfly,wings|flying|wildlife|botanical_gardens|nectar|pollen|pollinate|pattern|insect|antennae,animals
cabin,hut|shed|property|real_estate|dwellings|living|door|woods|forest|winter_holiday|alpine|wilderness|outdoors,buildings|travel|home
cabinet-filing,nightstand|bedside_table|drawers|documents|binders|folders|records|storage|archive|office,furniture|files
cactus,spikes|spines|needles|glochid|plant|desert|botanical|flora,nature|maps
candle-holder-lit,handle|wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|melting|burning|flame|fire|alight|lighting|daytime|mode|theme|toggle|css,home|sustainability|design|development
candle-holder,handle|wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|darkness|night|mode|theme|toggle|css,home|sustainability|design|development
candle-tealight-lit,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|melting|burning|flame|fire|alight|lighting|daytime|mode|theme|toggle|css,home|sustainability|design|development
candle-tealight,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|melting|burning|flame|fire|alight|lighting|mode|theme|toggle|css,home|sustainability|design|development
candlestick-big-lit,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|melting|burning|flame|fire|alight|lighting|daytime|mode|theme|toggle|css,home|sustainability|design|development
candlestick-big,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|birthday_cake|power_cut|outage|melting|burning|flame|fire|alight|lighting|mode|theme|toggle|css,home|sustainability|design|development
candlestick-lit,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|power_cut|outage|melting|burning|flame|fire|alight|lighting|daytime|mode|theme|toggle|css,home|sustainability|design|development
candlestick,wax|incense|fragrance|smell|senses|spirituality|meditation|relaxation|wellbeing|romance|romantic_evening|valentines_day|date|birthday_cake|power_cut|outage|darkness|night|mode|theme|toggle|css,home|sustainability|design|development
card-credit,atm|cash_machine|cash_point|withdrawal|debit|visa|mastercard|bank|finance|financial|spending|budget|purchase|payment|cc|shopping|retail|store|mall|consumer|loyalty|points|cashback|transaction,account|money
card-sd,smartphone|mobile|disk|data|backup|save|read|write|rw|storage|extra|capacity|megabytes|mb|gigabytes|gb|format|flash|drive|digital|camera|photos|pictures|images|raw,photography|files|multimedia|devices
card-sim,cellphone|smartphone|mobile|network|cellular|service|provider|signal|coverage|disk|data|format|storage|flash|digital|contacts|phone_book|contractual|circuit_board|chip,connectivity|communication|multimedia|devices
carton-off,milk|dairy|drink|diet|lactose_free|liquid|litres|pints|pasturised|skimmed|container|vegan,food-beverage
carton,milk|dairy|drink|diet|lactose|liquid|litres|pints|pasturised|skimmed|container|cow,food-beverage
case-camel,text|letters|characters|font|typography|ab|string|code,text|development
case-kebab,text|letters|characters|font|typography|dash|a-b|ab|string|code,text|development
case-snake-upper,text|letters|capitals|caps|characters|font|typography|underscore|ab|constant|string|code,text|development
case-snake,text|letters|characters|font|typography|underscore|ab|string|code,text|development
cat-big,tiger|lion|leopard|panther|zoo|safari_park|savannah|wildlife|mammal|carnivore|predator|pride|feline|ferocious|roar,animals
cauldron,pot|boiling|heat|hot|soup|potion|brewing|bubbles|spell|curse|witches|wizard|druid|halloween,gaming|food-beverage
cent-circle,finance|financial|markets|exchange|trader|trading|transaction|payment|coin|cents|dollar|usd,currency|money|shapes
cent-square,finance|financial|markets|exchange|trader|trading|transaction|payment|cents|dollar|usd|toolbar|button,currency|money|shapes
cent,finance|financial|markets|exchange|trader|trading|transaction|payment|symbol|cents|dollar|usd,currency|money
chairs-table-parasol,terrace|balcony|patio|umbrella|shade|seating|garden|outdoor|al_fresco|dining,furniture|home|travel
chairs-table-platter,restaurant|seating|table_service|waiter|waitress|served|dinner|dining|meal|courses|luxury,food-beverage|furniture|home|travel|maps
chameleon,camouflage|colors|colours|multicolor|multicolour|lizard|reptile|wildlife,animals
cheese,swiss|holes|fondue|emmental|gouda|edam|cheddar|brie|mozzarella|feta|halloumi|gorgonzola|roquefort|camembert|dairy|snack|dish|restaurant|lunch|meal|savory|savoury|cookery|cooking|grilled,food-beverage
chest,trunk|treasure|loot|gold|toybox|toolbox|tool_chest|storage|container,tools|gaming
chevrons-left-right-square,gist|source|programming|html|xml|code|coding,text|development
chevrons-up-down-square,elevator|lift|floors|levels|hotel|accommodation|expand|unfold|vertical|toolbar|button,buildings|travel|arrows|shapes
cloth,thread|sewing|stitch|embroidery|waeve|woven|fabric|material|textile|upholstery|cleaning,home|shopping|furniture
coat-hanger,clothes|clothing|apparel|attire|wardrobe|dry_cleaning|amenities,home|furniture|travel|maps
cocktail,martini|alcohol|spirits|drink|glass|straw|citrus|orange|lemon|lime|bar|lounge|party|nightclub|nightlife,food-beverage|social
coconut,segments|milk|smoothie|cocktail|tropical|beach_bar|holiday|vacation|sweet|creamy|snack|ingredient|cooking|cookery|kitchen|cuisine|eating|healthy|nutrition|diet,food-beverage|travel
coffee-bean,roast|ground|blend|arabica|filter|instant|cafetiere|hot|drink|barista|fair_trade,food-beverage
coffeemaker,machine|amenities|electronics|appliances|roast|ground|blend|arabica|filter|instant|cafetiere|hot|drink|barista|fair_trade,food-beverage|devices
coins-exchange,exchange|trader|trading|transaction|swap|finance|financial|markets,currency|money
